"","bids_name","aor","aqi","dummy_trs","dvars_nstd","dvars_std","dvars_vstd","efc","fber","fd_mean","fd_num","fd_perc","fwhm_avg","fwhm_x","fwhm_y","fwhm_z","gcor","gsr_x","gsr_y","size_t","size_x","size_y","size_z","snr","spacing_tr","spacing_x","spacing_y","spacing_z","summary_bg_k","summary_bg_mad","summary_bg_mean","summary_bg_median","summary_bg_n","summary_bg_p05","summary_bg_p95","summary_bg_stdv","summary_fg_k","summary_fg_mad","summary_fg_mean","summary_fg_median","summary_fg_n","summary_fg_p05","summary_fg_p95","summary_fg_stdv","tsnr","subj","year","site","parent_site","scanner_type"
"1","sub-01_ses-Y1CMH_task-rest_run-01_bold",0.000622836538461538,0.00214135625,0,12.8662672778261,1.06371802043478,0.993066217584542,0.464749064742806,20911.59375,0.0798485905212421,1,0.480769230769231,3.03847140845433,3.0294848,3.542752,2.54317742536299,0.0485149,0.00679388828575611,0.00529837282374501,208,64,64,40,4.40879696783567,2,3.125,3.125,3.99999618530273,21.5982870004794,43.4801635742188,161.750015258789,29.7019233703613,99360,0,868.010604858398,388.192138671875,2.2020586979402,687.766967773438,4047.17993164062,4248.8583984375,30220,2008.41834716797,5213.97631835938,963.706909179688,93.8474731445312,"sub-01","ses-Y1","CMH","CM","GE"
"2","sub-01_ses-Y1MRC_task-rest_run-01_bold",0.000435817307692308,0.00345242860576923,0,29.8089550405314,1.06768654429952,0.990640617487923,0.462014258853896,1824.91650390625,0.0967679224752172,0,0,2.81980013333333,2.8353184,3.312192,2.31189,0.0128502,0.0318959578871727,0.0546160936355591,208,64,64,40,2.0832060563247,2.01999998092651,3.125,3.125,4,89.1171463057693,7.17066240310669,26.8893737792969,11.4375,97489,5.58173084259033,94.4461563110348,60.3673896789551,2.57601382788486,198.711502075195,589.060241699219,540.653869628906,31351,255.86058807373,1108.18994140625,259.525573730469,47.0994644165039,"sub-01","ses-Y1","MRC","MR","GE"
"3","sub-01_ses-Y1ZHH_task-rest_run-01_bold",0.00109355769230769,0.00250958216346154,0,19.7344757485507,1.22957789932367,0.99443919647343,0.444162768202329,34073.44921875,0.0559750116685593,0,0,2.67614973333333,2.862832,2.9235072,2.24211,0.0222788,0.00576600804924965,0.0246391743421555,208,64,64,40,3.34076747889022,2,3.125,3.125,4,62.98792041599,15.9023351669312,68.6648941040039,10.7259616851807,99968,0,337.512992858886,183.785034179688,0.641458805764298,477.868286132812,1932.8095703125,1951.61059570312,29133,845.860595703125,2880.12119140625,584.170288085938,73.9505462646484,"sub-01","ses-Y1","ZHH","ZH","GE"
"4","sub-01_ses-Y2CMH_task-rest_run-01_bold",0.000760817307692308,0.00236343918269231,0,14.4931180097101,1.1173135447343,0.98571256879227,0.461227826337531,21519.861328125,0.067216844844919,0,0,2.92986746666667,2.9911744,3.343008,2.45542,0.05404,0.00883437413722277,0.00824672635644674,208,64,64,40,4.48324589576347,2,3.125,3.125,4,22.7162480984339,38.9396934509277,157.290481567383,29.980770111084,99523,0.966346204280853,801.909179687499,380.38525390625,2.15013604332802,705.322875976562,4195.0908203125,4356.49755859375,29946,2193.17065429688,5491.09033203125,971.712219238281,91.9826354980469,"sub-01","ses-Y2","CMH","CM","GE"
"5","sub-01_ses-Y2MRC_task-rest_run-01_bold",0.000880048076923077,0.00214891783653846,0,26.4350901800966,1.21421058400966,1.00454008357488,0.502758821569324,904.60107421875,0.169882291285588,83,39.9038461538462,2.70792563333333,2.7445472,3.1127872,2.2664425,0.0180197,0.026747290045023,0.0603369176387787,208,64,64,37,2.26628976650601,2,3.125,3.125,4,68.3939339301632,8.00462627410889,35.7678375244141,16.4375,86090,10.1394233703613,118.46202507019,70.7705307006836,2.45321497945265,189.880004882812,586.788391113281,546.692321777344,31660,267.230053710938,1056.5492980957,241.224090576172,73.8227005004883,"sub-01","ses-Y2","MRC","MR","GE"
"6","sub-01_ses-Y2ZHH_task-rest_run-01_bold",0.00128110576923077,0.002052243125,0,24.0760299936715,1.30550768328502,0.995301949613527,0.437354337325586,45944.92578125,0.0853945992465114,0,0,2.71965522912192,3.0023488,2.7736512,2.38296568736577,0.0242991,0.00202419189736247,0.0255745053291321,208,64,64,40,2.94648038439823,2,3.125,3.125,4.00013732910156,37.2201613303182,21.3765602111816,109.128448486328,14.418270111084,100975,0,572.381738281249,272.437164306641,0.220514179980511,981.7822265625,3229.40966796875,3225,28612,1328.76854248047,5073.28308105469,1094.50708007812,70.895622253418,"sub-01","ses-Y2","ZHH","ZH","GE"
"7","sub-02_ses-Y3CMH_task-rest_run-01_bold",0.000735625,0.00263362100961538,0,16.3011855527053,1.20800758478261,0.999466973140097,0.520360066518965,21963.630859375,0.0553685292516635,0,0,2.92457364521056,2.8416384,3.27328,2.65880253563169,0.0566938,0.00604003900662065,0.0180597621947527,208,64,64,40,4.48722684535976,2,3.125,3.125,3.99999618530273,40.4774473579123,33.7006912231445,124.551651000977,26.461540222168,84737,1.14903855323792,587.992333984375,291.138732910156,0.989815557140606,767.139526367188,3922.48291015625,3985.55297851562,41855,2262.12841796875,5250.87290039062,888.18896484375,87.9325332641602,"sub-02","ses-Y3","CMH","CM","GE"
"8","sub-02_ses-Y3MRP_task-rest_run-01_bold",0.00071125,0.00210201173076923,0,26.7439780671498,1.24025566700483,0.986712087922706,0.555693265467611,365.928253173828,0.0771211119904488,2,0.961538461538462,2.58253334724776,2.55496,2.8145824,2.37805764174328,0.0395868,0.0167463757097721,0.0621454864740372,208,64,64,37,1.5942261857087,2,3.125,3.125,3.99999976158142,45.6537603958274,11.5614461898804,76.1125869750977,37.1346168518066,72935,28.0576934814453,277.345690917969,123.148315429688,1.92601099756235,424.637268066406,930.752136230469,806.365417480469,43876,326.962760925293,1909.2236328125,505.797882080078,71.0835876464844,"sub-02","ses-Y3","MRP","MR","prisma"
"9","sub-02_ses-Y3ZHP_task-rest_run-01_bold",0.00102942307692308,0.00171096574038462,0,25.8564485560869,1.31476608342995,1.00267476357488,0.560071006109332,356.073760986328,0.0567658183957309,2,0.961538461538462,2.60782233333333,2.548832,2.83424,2.440395,0.0324871,0.0093048308044672,0.0677003934979439,208,64,64,37,1.6069545604332,2,3.125,3.125,4,42.7716397804648,10.7060976028442,71.413818359375,35.2163467407227,72296,26.836540222168,259.040885925293,111.306755065918,2.33693992282143,385.216430664062,866.440734863281,749.774047851562,44526,314.943511962891,1759.65753173828,466.575500488281,78.0666656494141,"sub-02","ses-Y3","ZHP","ZH","prisma"
"10","sub-02_ses-Y4CMP_task-rest_run-01_bold",0.00143995192307692,0.00280455163461539,0,32.0380463532367,1.23701737115942,0.984789444589371,0.565132622506345,298.294769287109,0.1287539078348,41,19.7115384615385,2.57787643333333,2.536352,2.8342848,2.3629925,0.0286667,0.0172230023890734,0.0713190361857414,208,64,64,37,1.60884346598268,2,3.125,3.125,4,55.6537590381382,10.3425788879395,78.0882186889648,39.6971168518066,71214,31.283655166626,270.63726196289,126.222549438477,1.8112604537281,405.545196533203,893.534729003906,775.384643554688,44806,320.384613037109,1840.34860229492,481.946197509766,58.0428466796875,"sub-02","ses-Y4","CMP","CM","prisma"
