"","bids_name","scanner","parent_site","scanner_type","subj","year","cnr","snr_csf","snr_gm","snr_total","snr_wm","snrd_csf","snrd_gm","snrd_total","snrd_wm"
"1","sub-01_ses-Y1CMH_run-01_T1w","CMH","CM","GE","sub-01","ses-Y1",2.90706953088781,2.87444056084204,9.9305883002493,10.2509060773262,17.9476893708874,17.4411060222962,31.8247926327229,30.9942336620437,43.7168023311121
"2","sub-01_ses-Y1MRC_run-01_T1w","MRC","MR","GE","sub-01","ses-Y1",2.44548303260057,3.10356621045965,7.80093141387128,7.90485838605025,12.8100775338198,13.7028885950467,29.3892452248563,28.3110230999033,41.8409354798069
"3","sub-01_ses-Y1MRC_run-02_T1w","MRC","MR","GE","sub-01","ses-Y1",2.40736363301561,2.95704967727131,7.52915355948073,7.78254226299252,12.8614235522255,13.8045405468139,28.9963855006468,28.0308736561007,41.2916949208415
"4","sub-01_ses-Y1MRC_run-03_T1w","MRC","MR","GE","sub-01","ses-Y1",2.33146147167097,3.08900772930652,7.49525114269338,7.55347996478906,12.0761810223673,13.5140451002446,29.0917325721551,28.0075569592649,41.4168932053948
"5","sub-01_ses-Y1ZHH_run-01_T1w","ZHH","ZH","GE","sub-01","ses-Y1",2.6292650306988,3.6791856529616,9.30438563405192,9.03778033010107,14.1297697032897,33.4744418434107,49.3921962851016,50.6201888679408,68.99392847531
"6","sub-01_ses-Y2CMH_run-01_T1w","CMH","CM","GE","sub-01","ses-Y2",2.77724763267108,2.30022521913616,10.1328334903979,9.6018827297801,16.3725894798063,14.3976883938924,30.8280079745127,29.1088673679695,42.1009057355035
"7","sub-01_ses-Y2MRC_run-01_T1w","MRC","MR","GE","sub-01","ses-Y2",2.58442077441647,3.11759240635962,8.51210377697207,8.4562100483194,13.7389339616265,13.8408820960917,29.552468227404,28.3836673130811,41.7576516157475
"8","sub-01_ses-Y2MRC_run-02_T1w","MRC","MR","GE","sub-01","ses-Y2",2.47000025597823,2.6206175065457,7.88352054117648,7.82538925722952,12.9720297239664,13.9939403060122,29.6682216949558,28.6282072645667,42.2224597927321
"9","sub-01_ses-Y2MRC_run-03_T1w","MRC","MR","GE","sub-01","ses-Y2",2.44436121732386,2.89247491963114,7.93147059372451,7.85657487351453,12.7457791071879,13.8600761445261,29.6051429508457,28.5046625127439,42.04876844286
"10","sub-01_ses-Y2ZHH_run-01_T1w","ZHH","ZH","GE","sub-01","ses-Y2",2.89090532042101,2.79016193292455,10.0551710601804,9.46841383627243,15.5599085157124,24.3508627941973,40.292572734212,40.3121428864297,56.2929931308799
"11","sub-02_ses-Y3CMH_run-01_T1w","CMH","CM","GE","sub-02","ses-Y3",3.03641521729553,2.08215354118569,9.57191628369937,9.60675315660812,17.1661896449393,10.692501605903,26.6898436023891,25.0213425784436,37.6816825270387
"12","sub-02_ses-Y3MRP_run-01_T1w","MRP","MR","prisma","sub-02","ses-Y3",2.31745116122092,3.427492083522,5.12536744659517,4.61320459675811,5.28675426015717,10.8740764045686,17.464472746258,21.0413524451372,34.785508184585
"13","sub-02_ses-Y3MRP_run-02_T1w","MRP","MR","prisma","sub-02","ses-Y3",2.30482424513386,3.35226025869077,5.16591834463313,4.59244169566114,5.25914648365951,10.8151776977122,17.3600200191654,20.8769135455179,34.4555429196761
"14","sub-02_ses-Y3MRP_run-03_T1w","MRP","MR","prisma","sub-02","ses-Y3",2.30913968573356,2.94461969842497,5.00511727243578,4.40980569052545,5.27968010071561,11.0098271083109,17.4381354676169,21.0854411427314,34.8083608522662
"15","sub-02_ses-Y3ZHP_run-01_T1w","ZHP","ZH","prisma","sub-02","ses-Y3",2.07765746225118,2.85667385144762,5.23736661838586,4.19576488449797,4.49325418366044,9.43956090889972,15.1894670006018,18.4305711600816,30.6626855707432
"16","sub-02_ses-Y4CMP_run-01_T1w","CMP","CM","prisma","sub-02","ses-Y4",2.03744455297198,1.19182048242137,4.61423074992776,3.37190304992033,4.30965791741184,15.3851740551207,23.6715222870172,29.4256850268674,49.2203587384644
"17","sub-03_ses-Y1CMH_run-01_T1w","CMH","CM","GE","sub-03","ses-Y1",3.0692811212537,2.61564867072779,9.70033753629644,10.28836623008,18.5491124832156,12.2204948768946,30.9147849600872,28.7903624648454,43.2358075575544
