bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-01_ses-Y1CMH_task-rest_run-01_bold	0.0006228365384615385	0.00214135625	0	12.866267277826083	1.0637180204347825	0.9930662175845416	0.46474906474280564	20911.59375	0.07984859052124212	1	0.4807692307692308	3.038471408454331	3.0294848	3.5427519999999997	2.543177425362993	0.0485149	0.006793888285756111	0.005298372823745012	208	64	64	40	4.408796967835673	2.0	3.125	3.125	3.9999961853027344	21.598287000479445	43.48016357421875	161.75001525878906	29.701923370361328	99360.0	0.0	868.0106048583982	388.192138671875	2.2020586979402035	687.7669677734375	4047.179931640625	4248.8583984375	30220.0	2008.418347167969	5213.976318359375	963.7069091796875	93.84747314453125
sub-01_ses-Y1MRC_task-rest_run-01_bold	0.00043581730769230774	0.003452428605769231	0	29.80895504053139	1.0676865442995176	0.9906406174879225	0.4620142588538956	1824.91650390625	0.0967679224752172	0	0.0	2.819800133333333	2.8353184	3.312192	2.31189	0.0128502	0.0318959578871727	0.05461609363555908	208	64	64	40	2.083206056324702	2.0199999809265137	3.125	3.125	4.0	89.11714630576925	7.1706624031066895	26.889373779296875	11.4375	97489.0	5.581730842590332	94.44615631103483	60.36738967895508	2.5760138278848554	198.7115020751953	589.0602416992188	540.6538696289062	31351.0	255.86058807373047	1108.18994140625	259.52557373046875	47.099464416503906
sub-01_ses-Y1ZHH_task-rest_run-01_bold	0.0010935576923076923	0.002509582163461539	0	19.73447574855072	1.229577899323671	0.9944391964734298	0.4441627682023286	34073.44921875	0.05597501166855931	0	0.0	2.6761497333333337	2.862832	2.9235072000000004	2.24211	0.0222788	0.005766008049249649	0.024639174342155457	208	64	64	40	3.340767478890216	2.0	3.125	3.125	4.0	62.98792041598999	15.902335166931152	68.6648941040039	10.725961685180664	99968.0	0.0	337.5129928588862	183.7850341796875	0.641458805764298	477.8682861328125	1932.8095703125	1951.610595703125	29133.0	845.8605957031251	2880.1211914062496	584.1702880859375	73.95054626464844
sub-01_ses-Y2CMH_task-rest_run-01_bold	0.0007608173076923077	0.0023634391826923076	0	14.493118009710143	1.117313544734299	0.9857125687922704	0.461227826337531	21519.861328125	0.06721684484491905	0	0.0	2.9298674666666664	2.9911744	3.3430079999999998	2.45542	0.05404	0.008834374137222767	0.008246726356446743	208	64	64	40	4.483245895763474	2.0	3.125	3.125	4.0	22.71624809843386	38.939693450927734	157.2904815673828	29.980770111083984	99523.0	0.9663462042808533	801.9091796874986	380.38525390625	2.150136043328019	705.3228759765625	4195.0908203125	4356.49755859375	29946.0	2193.170654296875	5491.09033203125	971.7122192382812	91.98263549804688
sub-01_ses-Y2MRC_task-rest_run-01_bold	0.0008800480769230769	0.0021489178365384615	0	26.43509018009662	1.2142105840096613	1.0045400835748786	0.5027588215693245	904.60107421875	0.16988229128558843	83	39.90384615384615	2.7079256333333332	2.7445472	3.1127872	2.2664425	0.0180197	0.026747290045022964	0.060336917638778687	208	64	64	37	2.266289766506006	2.0	3.125	3.125	4.0	68.39393393016323	8.004626274108887	35.76783752441406	16.4375	86090.0	10.139423370361328	118.46202507019046	70.7705307006836	2.4532149794526523	189.8800048828125	586.7883911132812	546.6923217773438	31660.0	267.2300537109375	1056.549298095703	241.22409057617188	73.82270050048828
sub-01_ses-Y2ZHH_task-rest_run-01_bold	0.0012811057692307692	0.002052243125	0	24.0760299936715	1.3055076832850234	0.9953019496135267	0.43735433732558593	45944.92578125	0.08539459924651135	0	0.0	2.719655229121925	3.0023487999999996	2.7736511999999998	2.382965687365775	0.0242991	0.0020241918973624706	0.02557450532913208	208	64	64	40	2.9464803843982255	2.0	3.125	3.125	4.0001373291015625	37.220161330318184	21.37656021118164	109.12844848632812	14.418270111083984	100975.0	0.0	572.381738281249	272.4371643066406	0.22051417998051148	981.7822265625	3229.40966796875	3225.0	28612.0	1328.7685424804688	5073.283081054686	1094.507080078125	70.89562225341797
sub-02_ses-Y3CMH_task-rest_run-01_bold	0.0007356250000000001	0.002633621009615385	0	16.30118555270532	1.2080075847826086	0.9994669731400967	0.520360066518965	21963.630859375	0.055368529251663544	0	0.0	2.9245736452105633	2.8416384	3.2732799999999997	2.6588025356316907	0.0566938	0.0060400390066206455	0.018059762194752693	208	64	64	40	4.487226845359758	2.0	3.125	3.125	3.9999961853027344	40.47744735791229	33.70069122314453	124.55165100097656	26.46154022216797	84737.0	1.149038553237915	587.9923339843749	291.13873291015625	0.9898155571406058	767.1395263671875	3922.48291015625	3985.552978515625	41855.0	2262.12841796875	5250.872900390625	888.18896484375	87.93253326416016
sub-02_ses-Y3MRP_task-rest_run-01_bold	0.00071125	0.0021020117307692307	0	26.74397806714977	1.2402556670048306	0.9867120879227057	0.5556932654676113	365.9282531738281	0.07712111199044877	2	0.9615384615384616	2.5825333472477605	2.55496	2.8145824	2.3780576417432813	0.0395868	0.01674637570977211	0.06214548647403717	208	64	64	37	1.5942261857087	2.0	3.125	3.125	3.999999761581421	45.65376039582742	11.561446189880371	76.11258697509766	37.13461685180664	72935.0	28.057693481445312	277.3456909179688	123.1483154296875	1.9260109975623463	424.63726806640625	930.7521362304688	806.3654174804688	43876.0	326.96276092529297	1909.2236328125	505.7978820800781	71.08358764648438
sub-02_ses-Y3ZHP_task-rest_run-01_bold	0.001029423076923077	0.0017109657403846154	0	25.85644855608695	1.3147660834299508	1.0026747635748792	0.5600710061093318	356.0737609863281	0.056765818395730874	2	0.9615384615384616	2.6078223333333335	2.548832	2.83424	2.440395	0.0324871	0.009304830804467201	0.06770039349794388	208	64	64	37	1.6069545604332043	2.0	3.125	3.125	4.0	42.77163978046484	10.706097602844238	71.413818359375	35.216346740722656	72296.0	26.83654022216797	259.04088592529297	111.30675506591797	2.3369399228214274	385.2164306640625	866.4407348632812	749.7740478515625	44526.0	314.9435119628906	1759.6575317382812	466.57550048828125	78.06666564941406
sub-02_ses-Y4CMP_task-rest_run-01_bold	0.0014399519230769231	0.002804551634615385	0	32.0380463532367	1.2370173711594203	0.984789444589371	0.5651326225063452	298.2947692871094	0.12875390783479956	41	19.71153846153846	2.577876433333333	2.536352	2.8342848	2.3629925	0.0286667	0.017223002389073372	0.07131903618574142	208	64	64	37	1.6088434659826751	2.0	3.125	3.125	4.0	55.653759038138205	10.342578887939453	78.08821868896484	39.69711685180664	71214.0	31.283655166625977	270.6372619628901	126.22254943847656	1.8112604537281012	405.5451965332031	893.5347290039062	775.3846435546875	44806.0	320.3846130371094	1840.3486022949219	481.9461975097656	58.0428466796875
