bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-01_ses-Y1CMH_run-1_T1w	0.4574646358322996	2.914855919267397	0.6548613703221691	134.53311157226562	3.2663769024237794	3.325622310321127	3.379864170378522	3.0936442265716892	0.1858537506071143	0.4428130580448414	0.3713331913480443	1.1714558601379395	0.3118196427822113	0.0	0.0003179382440735132	25.18034529220905	11.608772280041075	16.33704269766776	200	256	256	2.872146630285056	9.942649702465475	10.255019983861173	17.950263618832984	17.43337313899194	31.82306261440789	30.9985623821224	43.73925139296738	0.8999999761581421	0.8984000086784363	0.8984000086784363	1.446749116969217	14.978533744812012	58.48023223876953	56.274356842041016	3449094.0	35.72436866760254	89.04938316345213	16.66239356994629	-0.8666669782255969	172.02549743652344	384.4920959472656	398.5832214355469	13072.0	171.6857711791992	584.9946319580079	138.7700653076172	0.185333444245249	70.15290832519531	732.4932250976562	727.5780029296875	29966.0	620.1624145507812	863.3908996582031	73.17625427246094	0.15739704160933377	54.47993087768555	998.5702514648438	1000.0205688476562	265811.0	904.2705993652344	1087.5547485351562	55.71052932739258	0.20022563636302948	0.4932856559753418	0.5495639443397522	0.516515188530918
sub-01_ses-Y1MRC_run-1_T1w	0.5373833306416081	2.44527531757177	0.6327811302835369	77.84439849853516	4.123425938074197	4.293522335961722	4.173556869565218	3.9031986086956523	0.1696771670490814	0.42411132076863917	0.40621151218227947	1.2823406457901	0.8571996450424191	0.0	0.011746206613976235	33.498197226040446	13.634370587376754	16.0047590249492	240	256	256	3.1237988356355078	7.792335750354264	7.914615919847907	12.82771317355395	13.704133158977239	29.400772411507948	28.317428979460914	41.84738136789756	0.8999999761581421	0.8984375	0.8984375	11490.902036913949	15.655014991760254	81.4510498046875	79.9998550415039	4462440.0	57.53735122680664	109.72445793151854	24.265077590942383	4.5870739019918565	82.35498809814453	352.4947814941406	327.47137451171875	24856.0	227.16445922851562	559.8412628173828	104.82902526855469	-0.4096452209479704	96.39932250976562	696.0650634765625	702.5552978515625	27736.0	537.7997283935547	832.0862274169922	90.15815734863281	1.4948880244784135	63.43020248413086	998.39306640625	999.9771118164062	217489.0	861.2876098632812	1120.9518310546873	77.95425415039062	0.2296203076839447	0.4702383875846863	0.514013946056366	0.38195259585611613
sub-01_ses-Y1MRC_run-2_T1w	0.5534226860982462	2.40468293203102	0.6336232496893537	77.13204956054688	4.056446388568879	4.249244557010983	4.088598260869565	3.8314963478260866	0.16908186785620447	0.4276482727841867	0.40326985935960885	1.2858173847198486	0.8591361999511715	0.0	0.011960655787365496	33.49750680303423	13.527298581093165	16.05843772504876	240	256	256	2.974402335822695	7.52336452402767	7.78263734956816	12.850145188854116	13.818467520255806	29.022918442966336	28.051254853451997	41.31237859713384	0.8999999761581421	0.8984375	0.8984375	10949.699214550108	15.85766315460205	81.49956512451172	80.09400939941406	4441955.0	57.3122486114502	110.02637710571287	22.982419967651367	5.115428186590924	92.34613037109375	362.41912841796875	334.47784423828125	21172.0	227.3550262451172	579.6122955322265	112.449462890625	-0.4791289998943631	101.35823059082031	695.6550903320312	702.5036010742188	26556.0	532.8012237548828	836.9674835205078	93.37449645996094	1.5832625304614192	63.26731872558594	998.79052734375	999.9716186523438	213353.0	864.2697021484375	1121.9354003906249	77.81774139404297	0.22647534310817719	0.4732798635959625	0.5166385769844055	0.3822956673575648
sub-01_ses-Y1MRC_run-3_T1w	0.5644762370259684	2.3412061896853857	0.6331303723027998	75.34126281738281	4.0978551425338	4.287944558036183	4.1357801739130435	3.869840695652174	0.1685209700645805	0.427234315054583	0.4042447148808365	1.2828294038772583	0.8280365109443657	0.0	0.011497125019649411	33.72046852943395	13.556026430786149	16.053090801233395	240	256	256	3.0531493964033425	7.498084306023357	7.542785695033004	12.077123382672312	13.527256824893035	29.077259074905136	28.008709123524927	41.42161147077662	0.8999999761581421	0.8984375	0.8984375	10633.458083062069	15.816048622131348	82.00736236572266	80.51707458496094	4444702.0	57.90589561462403	110.60784873962402	24.136804580688477	5.090462755107547	83.63504028320312	352.47991943359375	326.5697937011719	25040.0	225.2136360168457	564.0014373779297	106.95948028564453	-0.415843435150244	99.44108581542969	694.7351684570312	701.971923828125	27408.0	530.4184173583984	835.8305023193359	93.61846160888672	1.3494527167351267	68.7799301147461	1000.3228759765625	999.9844970703125	214610.0	861.4144714355468	1135.261181640625	82.79969787597656	0.23044991493225098	0.47195136547088623	0.5137602686882019	0.3764306736869769
sub-01_ses-Y1ZHH_run-1_T1w	0.5097744171393919	2.620390240085152	0.6941406010359158	3118.8564453125	2.994228003622007	2.9416889668170336	3.1545079837753827	2.886487060273604	0.17980648777657726	0.44581434987554985	0.3743791623478729	1.180387258529663	0.34252336621284485	0.0	0.0009261083588606954	25.440936455111235	11.38590401861517	15.975771544488827	200	256	256	3.6614759327134867	9.27581823589084	9.022532061811916	14.130302016831422	32.38868667708836	47.88825635755626	49.0509523002853	66.87591386621128	0.8999999761581421	0.8984000086784363	0.8984000086784363	164.51617721564617	9.796552658081055	18.672361373901367	7.4336137771606445	948992.0	0.0	69.99780845642087	27.792667388916016	0.3967346929102251	110.52757263183594	458.6976623535156	484.3227844238281	4195.0	202.7878143310547	641.7749877929687	132.259521484375	0.13029209584097323	74.65229034423828	718.4910278320312	716.0949096679688	26910.0	594.6828857421874	851.141778564453	77.1987533569336	0.09374706497894802	70.08851623535156	1000.2142333984375	1000.0260009765625	258339.0	884.4456237792969	1116.9217163085934	70.77159881591797	0.17455360293388367	0.49159106612205505	0.5419059991836548	0.4538393824139768
sub-01_ses-Y2CMH_run-1_T1w	0.4852660727851387	2.7767323006624145	0.653755257784935	132.07325744628906	3.227116383050326	3.2724667533574303	3.3527159070610737	3.0561664887324733	0.18608666532689008	0.44515962260903835	0.3687537120640716	1.2283763885498047	0.3158716738224028	0.0	0.0003395827781407813	24.824691664439268	11.46549512365432	16.30112376164424	200	256	256	2.3180040458465574	10.117939020178586	9.601313538370961	16.36799754908774	14.534619298687645	30.824078766367638	29.156441123963614	42.11062530683555	0.8999999761581421	0.8984000086784363	0.8984000086784363	105.781291919111	15.557770729064941	60.32079315185547	58.870357513427734	3811225.0	36.0362434387207	91.44148559570311	18.728017807006836	-0.8070355432783209	186.40870666503906	358.80096435546875	345.1590881347656	9195.0	150.20746765136718	594.0643981933594	148.89547729492188	0.12068926048093243	69.85514068603516	735.0899658203125	731.9910278320312	34376.0	620.2497863769531	860.8257751464844	72.34481048583984	0.11355879273385705	60.20872497558594	1000.05419921875	1000.0169067382812	263038.0	899.269708251953	1100.568133544922	61.09574508666992	0.200592502951622	0.4968585669994354	0.550868570804596	0.5037918779144512
sub-01_ses-Y2MRC_run-1_T1w	0.5246840669091274	2.5832328325438243	0.6404678845557378	76.54220581054688	3.9215564414009436	4.032000106811526	4.044788869565217	3.687880347826087	0.1745327868274278	0.420306154622659	0.4051610585499132	1.291709065437317	0.7950585722923276	0.0	0.011311753332146948	32.157494089834515	13.509225343031503	15.788696029155854	240	256	256	3.135152492574204	8.5088624635541	8.460579761327779	13.737724327855032	13.871334323670352	29.563299843704275	28.403781009333603	41.77670886062619	0.8999999761581421	0.8984375	0.8984375	5448.675628690901	15.681602478027344	83.64958953857422	82.07152557373047	4319127.0	59.72843284606933	112.12425765991208	24.348081588745117	4.480181510353563	82.77854919433594	356.1760559082031	332.02972412109375	27800.0	228.37858810424805	564.492138671875	105.9035415649414	-0.34533957989452935	87.92774963378906	705.6220092773438	707.6387939453125	27078.0	565.7534576416016	837.1358917236328	83.16337585449219	0.8755532451125081	65.46099853515625	999.8876342773438	999.9837646484375	225122.0	879.6761199951172	1118.0668151855468	72.7909164428711	0.23155687749385834	0.47428977489471436	0.5233919620513916	0.3949359329300825
sub-01_ses-Y2MRC_run-2_T1w	0.551948254149807	2.473146285550865	0.641373393317628	74.01991271972656	3.8004722798597594	3.9741778830575383	3.844151652173913	3.5830873043478264	0.17125621836472377	0.4266372659919764	0.40210651564329986	1.3489638566970825	0.7887308478355406	0.0	0.011959976495563563	32.85212514200161	13.407373781916595	15.918793437131376	240	256	256	2.7785803145326273	7.895602156029968	7.874249792397414	12.94856690662965	13.97560265192179	29.66796680496527	28.62409093478486	42.22870334746752	0.8999999761581421	0.8984375	0.8984375	6085.942232038864	15.51385498046875	84.26868438720703	82.72743225097656	4283907.0	60.5418212890625	112.44570693969726	24.153974533081055	9.067579335209883	92.792724609375	360.9577941894531	330.94708251953125	21793.0	224.3032287597656	583.0544067382809	119.10380554199219	-0.44659475296611095	95.23153686523438	697.645263671875	702.5476684570312	26680.0	544.3320739746093	834.564697265625	88.97795104980469	0.917744149643688	68.94136810302734	1000.0966186523438	999.990234375	217201.0	871.7471923828125	1125.0577392578125	77.22769165039062	0.22397157549858093	0.47214946150779724	0.5160345435142517	0.3944867916691397
sub-01_ses-Y2MRC_run-3_T1w	0.5607101845725891	2.4453236413836197	0.6410107556690419	74.84601593017578	3.806895738891736	3.984911216675208	3.845643130434783	3.5901328695652173	0.16998483372927325	0.42815393257286516	0.4018612336978616	1.3163855075836182	0.7714623272418977	0.0	0.011455519288618753	33.08404788236214	13.410276255324742	15.958040411672027	240	256	256	2.9267180501519023	7.933206901418065	7.868089451254938	12.744343402194845	13.836886537530807	29.607832625065694	28.499463405073787	42.05367105262486	0.8999999761581421	0.8984375	0.8984375	6495.285614570618	15.578442573547363	83.70287322998047	82.17845916748047	4282637.0	59.85969161987305	111.91970825195311	24.79857063293457	12.731014200867717	82.63200378417969	356.1395568847656	329.0263671875	25600.0	229.59351501464846	567.5476196289062	112.41941833496094	-0.4459903859273018	95.72372436523438	699.0077514648438	704.0426025390625	27378.0	548.8691040039063	836.4775970458984	88.74465942382812	0.7788875053822131	70.21774291992188	999.8489379882812	999.9913330078125	217990.0	868.001010131836	1127.560205078125	78.46532440185547	0.22838620841503143	0.47206124663352966	0.5160214900970459	0.3923589413721193
sub-01_ses-Y2ZHH_run-1_T1w	0.46465355217333065	2.898355849651259	0.6637286625041506	3340.927734375	2.9097426601552456	2.8760000761879834	3.04159614158916	2.8116317626885943	0.17701149168271446	0.448403963818313	0.37458454449897255	1.1772959232330322	0.25840114355087285	0.0	0.0004963620402021204	25.31034845281344	11.291781064022272	15.985473770344768	200	256	256	2.791908143929728	10.060188561489651	9.469976007128716	15.55783131596677	25.65589349750783	42.43685083280047	42.46299507792429	59.29624090346458	0.8999999761581421	0.8984000086784363	0.8984000086784363	207.6623328311269	11.04875659942627	15.674670219421387	7.965163707733154	1452465.0	0.0	55.89347152709962	20.76780128479004	-0.14144365039763507	175.4579315185547	417.489501953125	432.6820068359375	3044.0	172.8502799987793	640.7160400390625	154.9517059326172	0.2281832421825043	68.13056945800781	718.1597290039062	715.6898193359375	28891.0	605.0338439941406	840.5262756347656	71.13956451416016	0.06870092269409867	63.98463821411133	999.5148315429688	1000.0203857421875	257697.0	893.108447265625	1103.9291748046876	64.27749633789062	0.17455197870731354	0.4905926287174225	0.5411347150802612	0.4388953344258155
